id,hip,hd,hr,gl,bf,proper,dist,mag,absmag,spect,ci,x,y,z,bayer,flam,con,comp,comp_primary,base,lum,var
1737,64520,114846,4990,,54    Vir,,194.1748,6.26,-0.181,A0V,0.088,-174.428963,-57.895707,-62.660468,,54,Vir,1,64315,,102.8963572,LM
1738,64577,114946,4995,,55    Vir,,38.9712,5.31,2.356,G8III/IV,0.862,-34.734141,-11.65249,-13.284653,,55,Vir,1,64372,,9.944890372,
1739,64661,114911,4993,,Eta Mus,,117.3709,4.79,-0.558,B8V,-0.078,-41.808581,-14.24278,-108.743263,Eta,,Mus,1,64456,,145.6129499,Eta
1740,64692,115271,5004,,19    CVn,,74.0741,5.77,1.422,A7V,0.198,-53.011616,-18.132501,48.455437,,19,CVn,1,64486,,23.50715116,
1741,64725,115202,5001,Gl 503.3,57    Vir,,38.4763,5.21,2.284,K1III,1.011,-34.199734,-11.772495,-13.123863,,57,Vir,1,64520,,10.62673865,
1742,64792,115383,5011,Gl 504,59    Vir,,17.5593,5.19,3.967,G0Vs,0.585,-16.359162,-5.694884,2.875153,,59,Vir,1,64587,,2.255277567,
1743,64844,115604,5017,,20    CVn,,81.0373,4.72,0.177,F3III,0.306,-58.064795,-20.431424,52.70761,,20,CVn,1,64639,,73.99459543,AO
1744,64852,115521,5015,,60Sig Vir,,207.0393,4.78,-1.8,M2III,1.638,-194.393291,-68.461175,19.735435,Sig,60,Vir,1,64647,,457.0881896,
1745,64906,115735,5023,,21    CVn,,84.246,5.14,0.512,A0V,-0.049,-51.363732,-18.249871,64.234673,,21,CVn,1,64701,,54.35005651,BK
1746,64924,115617,5019,Gl 506,61    Vir,,8.5551,4.74,5.079,G5V,0.709,-7.651172,-2.724657,-2.6878,,61,Vir,1,64720,,0.809841447,
1747,64962,115659,5020,,46Gam Hya,,41.0341,2.99,-0.076,G8III,0.92,-35.509172,-12.735386,-16.146279,Gam,46,Hya,1,64758,,93.41142557,
1748,65072,116010,5032,,23    CVn,,156.0062,5.6,-0.366,K1III,1.204,-111.996053,-40.938116,100.592398,,23,CVn,1,64867,,122.0112847,
1749,65109,115892,5028,Gl 508.1,Iot Cen,Kulou,18.0213,2.75,1.471,A2V,0.068,-13.562569,-4.976416,-10.773082,Iot,,Cen,1,64904,,22.46984104,
1750,65241,116235,5040,,64    Vir,,65.9196,5.89,1.795,A2m,0.109,-61.479038,-23.035458,5.922623,,64,Vir,1,65036,,16.67247213,
1751,65301,116292,5044,,63    Vir,,93.8086,5.36,0.499,K0III,0.987,-83.551797,-31.662689,-28.575855,,63,Vir,1,65096,,55.00472529,
1752,65323,116365,5047,,65    Vir,,381.6794,5.88,-2.028,K3III,1.431,-355.419007,-135.214946,-32.764014,,65,Vir,1,65118,,563.8972803,
